scale_group,series_a,series_b,model_a,model_b,source_a,source_b,selected_a,selected_b
gt_4b_lt_27b,gemma2,gemma3,Gemma-2-9B-Instruct,Gemma-3-12B-Instruct,Gemma-2-9B,Gemma-3-12B,Gemma-2-9B-Instruct,Gemma-3-12B-Instruct
gt_4b_lt_27b,gemma2,gemma4,Gemma-2-9B-Instruct,Gemma-4-26B-A4B-Instruct,Gemma-2-9B,Gemma-4-26B-A4B,Gemma-2-9B-Instruct,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,gemma2,qwen3.5_dense,Gemma-2-9B-Instruct,Qwen3.5-9B-Instruct,Gemma-2-9B,Qwen3.5-9B-Base,Gemma-2-9B-Instruct,Qwen3.5-9B-Instruct
gt_4b_lt_27b,gemma3,gemma4,Gemma-3-12B-Instruct,Gemma-4-26B-A4B-Instruct,Gemma-3-12B,Gemma-4-26B-A4B,Gemma-3-12B-Instruct,Gemma-4-26B-A4B-Instruct
gt_4b_lt_27b,gemma3,qwen3.5_dense,Gemma-3-12B-Instruct,Qwen3.5-9B-Instruct,Gemma-3-12B,Qwen3.5-9B-Base,Gemma-3-12B-Instruct,Qwen3.5-9B-Instruct
gt_4b_lt_27b,gemma4,qwen3.5_dense,Gemma-4-26B-A4B-Instruct,Qwen3.5-9B-Instruct,Gemma-4-26B-A4B,Qwen3.5-9B-Base,Gemma-4-26B-A4B-Instruct,Qwen3.5-9B-Instruct
ge_27b,qwen3,qwen2.5,Qwen3-32B,Qwen2.5-32B-Instruct,Qwen3-32B,Qwen2.5-32B,Qwen3-32B,Qwen2.5-32B-Instruct
ge_27b,qwen3,qwen2.5,Qwen3-32B,Qwen2.5-72B-Instruct,Qwen3-32B,Qwen2.5-72B-Base,Qwen3-32B,Qwen2.5-72B-Instruct
ge_27b,qwen3,llama,Qwen3-32B,Llama-3.1-70B-Instruct,Qwen3-32B,Llama-3.1-70B-Base,Qwen3-32B,Llama-3.1-70B-Instruct
ge_27b,qwen3,gemma2,Qwen3-32B,Gemma-2-27B-Instruct,Qwen3-32B,Gemma-2-27B,Qwen3-32B,Gemma-2-27B-Instruct
ge_27b,qwen3,gemma3,Qwen3-32B,Gemma-3-27B-Instruct,Qwen3-32B,Gemma-3-27B,Qwen3-32B,Gemma-3-27B-Instruct
ge_27b,qwen3,gemma4,Qwen3-32B,Gemma-4-31B-Instruct,Qwen3-32B,Gemma-4-31B,Qwen3-32B,Gemma-4-31B-Instruct
ge_27b,qwen3,qwen3.5_dense,Qwen3-32B,Qwen3.5-27B-Instruct,Qwen3-32B,Qwen3.5-27B-Instruct,Qwen3-32B,Qwen3.5-27B-Instruct
ge_27b,qwen3,qwen2.5,Qwen3-235B-A22B,Qwen2.5-32B-Instruct,Qwen3-235B-A22B,Qwen2.5-32B,Qwen3-235B-A22B,Qwen2.5-32B-Instruct
ge_27b,qwen3,qwen2.5,Qwen3-235B-A22B,Qwen2.5-72B-Instruct,Qwen3-235B-A22B,Qwen2.5-72B-Base,Qwen3-235B-A22B,Qwen2.5-72B-Instruct
ge_27b,qwen3,llama,Qwen3-235B-A22B,Llama-3.1-70B-Instruct,Qwen3-235B-A22B,Llama-3.1-70B-Base,Qwen3-235B-A22B,Llama-3.1-70B-Instruct
ge_27b,qwen3,gemma2,Qwen3-235B-A22B,Gemma-2-27B-Instruct,Qwen3-235B-A22B,Gemma-2-27B,Qwen3-235B-A22B,Gemma-2-27B-Instruct
ge_27b,qwen3,gemma3,Qwen3-235B-A22B,Gemma-3-27B-Instruct,Qwen3-235B-A22B,Gemma-3-27B,Qwen3-235B-A22B,Gemma-3-27B-Instruct
ge_27b,qwen3,gemma4,Qwen3-235B-A22B,Gemma-4-31B-Instruct,Qwen3-235B-A22B,Gemma-4-31B,Qwen3-235B-A22B,Gemma-4-31B-Instruct
ge_27b,qwen3,qwen3.5_dense,Qwen3-235B-A22B,Qwen3.5-27B-Instruct,Qwen3-235B-A22B,Qwen3.5-27B-Instruct,Qwen3-235B-A22B,Qwen3.5-27B-Instruct
ge_27b,qwen2.5,llama,Qwen2.5-32B-Instruct,Llama-3.1-70B-Instruct,Qwen2.5-32B,Llama-3.1-70B-Base,Qwen2.5-32B-Instruct,Llama-3.1-70B-Instruct
ge_27b,qwen2.5,gemma2,Qwen2.5-32B-Instruct,Gemma-2-27B-Instruct,Qwen2.5-32B,Gemma-2-27B,Qwen2.5-32B-Instruct,Gemma-2-27B-Instruct
ge_27b,qwen2.5,gemma3,Qwen2.5-32B-Instruct,Gemma-3-27B-Instruct,Qwen2.5-32B,Gemma-3-27B,Qwen2.5-32B-Instruct,Gemma-3-27B-Instruct
ge_27b,qwen2.5,gemma4,Qwen2.5-32B-Instruct,Gemma-4-31B-Instruct,Qwen2.5-32B,Gemma-4-31B,Qwen2.5-32B-Instruct,Gemma-4-31B-Instruct
ge_27b,qwen2.5,qwen3.5_dense,Qwen2.5-32B-Instruct,Qwen3.5-27B-Instruct,Qwen2.5-32B,Qwen3.5-27B-Instruct,Qwen2.5-32B-Instruct,Qwen3.5-27B-Instruct
ge_27b,qwen2.5,llama,Qwen2.5-72B-Instruct,Llama-3.1-70B-Instruct,Qwen2.5-72B-Base,Llama-3.1-70B-Base,Qwen2.5-72B-Instruct,Llama-3.1-70B-Instruct
ge_27b,qwen2.5,gemma2,Qwen2.5-72B-Instruct,Gemma-2-27B-Instruct,Qwen2.5-72B-Base,Gemma-2-27B,Qwen2.5-72B-Instruct,Gemma-2-27B-Instruct
ge_27b,qwen2.5,gemma3,Qwen2.5-72B-Instruct,Gemma-3-27B-Instruct,Qwen2.5-72B-Base,Gemma-3-27B,Qwen2.5-72B-Instruct,Gemma-3-27B-Instruct
ge_27b,qwen2.5,gemma4,Qwen2.5-72B-Instruct,Gemma-4-31B-Instruct,Qwen2.5-72B-Base,Gemma-4-31B,Qwen2.5-72B-Instruct,Gemma-4-31B-Instruct
ge_27b,qwen2.5,qwen3.5_dense,Qwen2.5-72B-Instruct,Qwen3.5-27B-Instruct,Qwen2.5-72B-Base,Qwen3.5-27B-Instruct,Qwen2.5-72B-Instruct,Qwen3.5-27B-Instruct
ge_27b,llama,gemma2,Llama-3.1-70B-Instruct,Gemma-2-27B-Instruct,Llama-3.1-70B-Base,Gemma-2-27B,Llama-3.1-70B-Instruct,Gemma-2-27B-Instruct
ge_27b,llama,gemma3,Llama-3.1-70B-Instruct,Gemma-3-27B-Instruct,Llama-3.1-70B-Base,Gemma-3-27B,Llama-3.1-70B-Instruct,Gemma-3-27B-Instruct
ge_27b,llama,gemma4,Llama-3.1-70B-Instruct,Gemma-4-31B-Instruct,Llama-3.1-70B-Base,Gemma-4-31B,Llama-3.1-70B-Instruct,Gemma-4-31B-Instruct
ge_27b,llama,qwen3.5_dense,Llama-3.1-70B-Instruct,Qwen3.5-27B-Instruct,Llama-3.1-70B-Base,Qwen3.5-27B-Instruct,Llama-3.1-70B-Instruct,Qwen3.5-27B-Instruct
ge_27b,gemma2,gemma3,Gemma-2-27B-Instruct,Gemma-3-27B-Instruct,Gemma-2-27B,Gemma-3-27B,Gemma-2-27B-Instruct,Gemma-3-27B-Instruct
ge_27b,gemma2,gemma4,Gemma-2-27B-Instruct,Gemma-4-31B-Instruct,Gemma-2-27B,Gemma-4-31B,Gemma-2-27B-Instruct,Gemma-4-31B-Instruct
ge_27b,gemma2,qwen3.5_dense,Gemma-2-27B-Instruct,Qwen3.5-27B-Instruct,Gemma-2-27B,Qwen3.5-27B-Instruct,Gemma-2-27B-Instruct,Qwen3.5-27B-Instruct
ge_27b,gemma3,gemma4,Gemma-3-27B-Instruct,Gemma-4-31B-Instruct,Gemma-3-27B,Gemma-4-31B,Gemma-3-27B-Instruct,Gemma-4-31B-Instruct
ge_27b,gemma3,qwen3.5_dense,Gemma-3-27B-Instruct,Qwen3.5-27B-Instruct,Gemma-3-27B,Qwen3.5-27B-Instruct,Gemma-3-27B-Instruct,Qwen3.5-27B-Instruct
ge_27b,gemma4,qwen3.5_dense,Gemma-4-31B-Instruct,Qwen3.5-27B-Instruct,Gemma-4-31B,Qwen3.5-27B-Instruct,Gemma-4-31B-Instruct,Qwen3.5-27B-Instruct
